ticker,year,month,day,filename,BrexitExposure,BrexitRisk,BrexitSentiment,NonBrexitRisk,NonBrexitSentiment
BARC.L,2020,02,13,/Users/min/brexit-uncertainty/src/processed/2020/BARC.L-2020-02-13-138119530720.txt,7.839448102853559e-05,0.0,-18.11111111111111,12.0,77.11111111111111
DPWGn.DE,2020,03,10,/Users/min/brexit-uncertainty/src/processed/2020/DPWGn.DE-2020-03-10-140482225494.txt,0.0,0.0,-0.0,9.0,62.0
F.N,2020,10,28,/Users/min/brexit-uncertainty/src/processed/2020/F.N-2020-10-28-138371499043.txt,0.0,0.0,-0.0,4.0,99.0
KHC.OQ,2020,02,13,/Users/min/brexit-uncertainty/src/processed/2020/KHC.OQ-2020-02-13-138215059016.txt,0.0,0.0,-0.0,5.0,79.0
BP.L,2020,02,04,/Users/min/brexit-uncertainty/src/processed/2020/BP.L-2020-02-04-137865680122.txt,0.0,0.0,-0.0,12.0,30.0
TSCO.L,2020,10,07,/Users/min/brexit-uncertainty/src/processed/2020/TSCO.L-2020-10-07-139439845115.txt,0.00031692372702302977,0.0,-0.0,5.0,75.0
7203.T,2020,05,12,/Users/min/brexit-uncertainty/src/processed/2020/7203.T-2020-05-12-139406927028.txt,0.0,0.0,-0.0,2.0,-17.0
7203.T,2020,02,06,/Users/min/brexit-uncertainty/src/processed/2020/7203.T-2020-02-06-139451667216.txt,0.0,0.0,-0.0,3.0,18.0
KOG.OL,2020,07,15,/Users/min/brexit-uncertainty/src/processed/2020/KOG.OL-2020-07-15-139176557710.txt,0.0,0.0,-0.0,7.0,41.0
BARC.L,2020,04,29,/Users/min/brexit-uncertainty/src/processed/2020/BARC.L-2020-04-29-140459713332.txt,0.0,0.0,-0.0,29.0,-84.0
KR.N,2020,12,03,/Users/min/brexit-uncertainty/src/processed/2020/KR.N-2020-12-03-140275750325.txt,0.0,0.0,-0.0,3.0,115.0
FMC.N,2020,08,05,/Users/min/brexit-uncertainty/src/processed/2020/FMC.N-2020-08-05-138514624961.txt,0.0,0.0,-0.0,6.0,38.0
TSCO.L,2020,10,07,/Users/min/brexit-uncertainty/src/processed/2020/TSCO.L-2020-10-07-139461732298.txt,0.0005163688939378292,0.0,-0.0,5.0,64.0
JNJ.N,2020,10,13,/Users/min/brexit-uncertainty/src/processed/2020/JNJ.N-2020-10-13-139333383014.txt,0.0,0.0,-0.0,8.0,69.0
BARC.L,2020,07,29,/Users/min/brexit-uncertainty/src/processed/2020/BARC.L-2020-07-29-138395847700.txt,0.0006317917614354309,14.818181818181818,-0.0,-2.8181818181818183,-56.0
BARC.L,2020,02,13,/Users/min/brexit-uncertainty/src/processed/2020/BARC.L-2020-02-13-139962947189.txt,0.00028121484814398203,0.0,18.11111111111111,11.0,0.8888888888888893
ULVR.L,2020,07,23,/Users/min/brexit-uncertainty/src/processed/2020/ULVR.L-2020-07-23-139605082238.txt,0.0,0.0,-0.0,5.0,8.0
TSCO.L,2020,04,08,/Users/min/brexit-uncertainty/src/processed/2020/TSCO.L-2020-04-08-137163525261.txt,0.0,0.0,-0.0,3.0,9.0
KHC.OQ,2020,10,29,/Users/min/brexit-uncertainty/src/processed/2020/KHC.OQ-2020-10-29-137671715233.txt,0.0,0.0,-0.0,4.0,131.0
JNJ.N,2020,01,22,/Users/min/brexit-uncertainty/src/processed/2020/JNJ.N-2020-01-22-140920095995.txt,0.0,0.0,-0.0,3.0,153.0
BARC.L,2020,07,29,/Users/min/brexit-uncertainty/src/processed/2020/BARC.L-2020-07-29-137532838134.txt,0.0,0.0,-0.0,14.0,-52.0
BP.L,2020,10,27,/Users/min/brexit-uncertainty/src/processed/2020/BP.L-2020-10-27-139879918998.txt,0.0,0.0,-0.0,4.0,75.0
F.N,2018,01,24,/Users/min/brexit-uncertainty/src/processed/2018/F.N-2018-01-24-138389904781.txt,0.0001779042874933286,0.0,-0.0,4.0,41.0
AZN.L,2018,02,02,/Users/min/brexit-uncertainty/src/processed/2018/AZN.L-2018-02-02-137054448061.txt,0.0,0.0,-0.0,12.0,84.0
BP.L,2018,02,06,/Users/min/brexit-uncertainty/src/processed/2018/BP.L-2018-02-06-138532789950.txt,0.0,0.0,-0.0,10.0,200.0
KHC.OQ,2018,05,02,/Users/min/brexit-uncertainty/src/processed/2018/KHC.OQ-2018-05-02-140336666357.txt,0.0,0.0,-0.0,7.0,93.0
TSCO.L,2018,10,03,/Users/min/brexit-uncertainty/src/processed/2018/TSCO.L-2018-10-03-139272056987.txt,0.0,0.0,-0.0,0.0,72.0
F.N,2018,10,24,/Users/min/brexit-uncertainty/src/processed/2018/F.N-2018-10-24-137531908921.txt,0.0,0.0,-0.0,5.0,86.0
KHC.OQ,2018,02,16,/Users/min/brexit-uncertainty/src/processed/2018/KHC.OQ-2018-02-16-137796859188.txt,0.0,0.0,-0.0,10.0,104.0
JNJ.N,2018,07,17,/Users/min/brexit-uncertainty/src/processed/2018/JNJ.N-2018-07-17-141010222562.txt,0.0,0.0,-0.0,0.0,112.0
AZN.L,2018,11,08,/Users/min/brexit-uncertainty/src/processed/2018/AZN.L-2018-11-08-140470213539.txt,0.0004816955684007707,0.0,18.11111111111111,15.0,49.888888888888886
AZN.L,2018,07,26,/Users/min/brexit-uncertainty/src/processed/2018/AZN.L-2018-07-26-140818664492.txt,0.0,0.0,-0.0,11.0,75.0
TSCO.L,2018,04,11,/Users/min/brexit-uncertainty/src/processed/2018/TSCO.L-2018-04-11-139959883222.txt,0.0,0.0,-0.0,2.0,191.0
JNJ.N,2018,04,17,/Users/min/brexit-uncertainty/src/processed/2018/JNJ.N-2018-04-17-137267325560.txt,0.0,0.0,-0.0,2.0,124.0
KR.N,2018,03,08,/Users/min/brexit-uncertainty/src/processed/2018/KR.N-2018-03-08-138743414845.txt,0.0,0.0,-0.0,2.0,57.0
DPWGn.DE,2018,08,07,/Users/min/brexit-uncertainty/src/processed/2018/DPWGn.DE-2018-08-07-137436527491.txt,0.0004662004662004662,0.0,-18.11111111111111,5.0,66.11111111111111
BARC.L,2018,04,26,/Users/min/brexit-uncertainty/src/processed/2018/BARC.L-2018-04-26-139732542527.txt,0.0,0.0,-0.0,19.0,35.0
7203.T,2018,08,03,/Users/min/brexit-uncertainty/src/processed/2018/7203.T-2018-08-03-137294661410.txt,0.0,0.0,-0.0,0.0,52.0
DPWGn.DE,2018,11,06,/Users/min/brexit-uncertainty/src/processed/2018/DPWGn.DE-2018-11-06-138067543106.txt,0.0006861063464837049,0.0,-18.11111111111111,8.0,64.11111111111111
BARC.L,2018,08,02,/Users/min/brexit-uncertainty/src/processed/2018/BARC.L-2018-08-02-137366822025.txt,0.0010549914281946459,29.636363636363637,-0.0,-16.636363636363637,3.0
ULVR.L,2018,02,01,/Users/min/brexit-uncertainty/src/processed/2018/ULVR.L-2018-02-01-137010525657.txt,0.0,0.0,-0.0,4.0,104.0
LLY.N,2018,11,06,/Users/min/brexit-uncertainty/src/processed/2018/LLY.N-2018-11-06-138855989064.txt,0.0,0.0,-0.0,4.0,66.0
BP.L,2018,10,30,/Users/min/brexit-uncertainty/src/processed/2018/BP.L-2018-10-30-137466638078.txt,0.0,0.0,-0.0,4.0,14.0
LLY.N,2018,04,24,/Users/min/brexit-uncertainty/src/processed/2018/LLY.N-2018-04-24-139809901587.txt,0.0,0.0,-0.0,11.0,27.0
BP.L,2018,07,31,/Users/min/brexit-uncertainty/src/processed/2018/BP.L-2018-07-31-140636385070.txt,0.0,0.0,-0.0,9.0,3.0
LLY.N,2018,07,24,/Users/min/brexit-uncertainty/src/processed/2018/LLY.N-2018-07-24-139253294349.txt,0.0,0.0,-0.0,3.0,26.0
BP.L,2018,05,01,/Users/min/brexit-uncertainty/src/processed/2018/BP.L-2018-05-01-137691496744.txt,0.0,0.0,-0.0,4.0,25.0
7203.T,2018,02,06,/Users/min/brexit-uncertainty/src/processed/2018/7203.T-2018-02-06-138825723624.txt,0.0,0.0,-0.0,0.0,7.0
KHC.OQ,2018,11,01,/Users/min/brexit-uncertainty/src/processed/2018/KHC.OQ-2018-11-01-139957170311.txt,0.0,0.0,-0.0,6.0,69.0
7203.T,2018,05,09,/Users/min/brexit-uncertainty/src/processed/2018/7203.T-2018-05-09-139256922882.txt,0.0,0.0,-0.0,6.0,2.0
JNJ.N,2018,10,16,/Users/min/brexit-uncertainty/src/processed/2018/JNJ.N-2018-10-16-138373365491.txt,0.0,0.0,-0.0,3.0,124.0
BARC.L,2018,02,22,/Users/min/brexit-uncertainty/src/processed/2018/BARC.L-2018-02-22-136963783161.txt,0.0005104645227156713,0.0,18.11111111111111,6.0,-3.1111111111111107
F.N,2018,07,25,/Users/min/brexit-uncertainty/src/processed/2018/F.N-2018-07-25-140890935247.txt,0.00028339316077838654,0.0,-0.0,5.0,17.0
BARC.L,2018,02,22,/Users/min/brexit-uncertainty/src/processed/2018/BARC.L-2018-02-22-137901359180.txt,0.00016966406515100103,0.0,-0.0,9.0,29.0
TSCO.L,2018,04,11,/Users/min/brexit-uncertainty/src/processed/2018/TSCO.L-2018-04-11-138743165366.txt,0.0,0.0,-0.0,3.0,66.0
7203.T,2018,05,09,/Users/min/brexit-uncertainty/src/processed/2018/7203.T-2018-05-09-137864330980.txt,0.0,0.0,-0.0,0.0,-26.0
KHC.OQ,2018,08,03,/Users/min/brexit-uncertainty/src/processed/2018/KHC.OQ-2018-08-03-139625297076.txt,0.0,0.0,-0.0,5.0,101.0
KR.N,2018,06,21,/Users/min/brexit-uncertainty/src/processed/2018/KR.N-2018-06-21-139399065775.txt,0.0,0.0,-0.0,1.0,87.0
BARC.L,2018,10,24,/Users/min/brexit-uncertainty/src/processed/2018/BARC.L-2018-10-24-140944839383.txt,0.0010257219504497396,0.0,-18.11111111111111,18.0,40.111111111111114
ULVR.L,2018,07,19,/Users/min/brexit-uncertainty/src/processed/2018/ULVR.L-2018-07-19-137927763788.txt,0.0,0.0,-0.0,2.0,75.0
DPWGn.DE,2018,11,06,/Users/min/brexit-uncertainty/src/processed/2018/DPWGn.DE-2018-11-06-139056129466.txt,0.00024588148512417015,29.636363636363637,18.11111111111111,-19.636363636363637,24.88888888888889
KR.N,2018,12,06,/Users/min/brexit-uncertainty/src/processed/2018/KR.N-2018-12-06-137368561785.txt,0.0,0.0,-0.0,0.0,74.0
BARC.L,2018,08,02,/Users/min/brexit-uncertainty/src/processed/2018/BARC.L-2018-08-02-139224686385.txt,0.0008037939072421831,0.0,36.22222222222222,19.0,12.777777777777779
DPWGn.DE,2018,03,07,/Users/min/brexit-uncertainty/src/processed/2018/DPWGn.DE-2018-03-07-140776301443.txt,0.0,0.0,-0.0,7.0,139.0
LLY.N,2018,01,31,/Users/min/brexit-uncertainty/src/processed/2018/LLY.N-2018-01-31-138912850488.txt,0.0,0.0,-0.0,9.0,32.0
JNJ.N,2018,01,23,/Users/min/brexit-uncertainty/src/processed/2018/JNJ.N-2018-01-23-137596207567.txt,0.0,0.0,-0.0,4.0,145.0
7203.T,2018,11,05,/Users/min/brexit-uncertainty/src/processed/2018/7203.T-2018-11-05-136945998670.txt,0.0,0.0,-0.0,2.0,90.0
